Rating,Difficulty,Directions,Duration,Title,Category,Picture
5,1,For the French toast: Grease the baking pan with butter. Tear the bread into chunks (or cut into cubes) and evenly distribute in the pan. Crack the eggs in a big bowl. Whisk together the eggs; milk; cream; granulated sugar; brown sugar and vanilla. Pour evenly over the bread. Cover the pan tightly and store in the fridge until needed (overnight preferably). For the topping: Mix the flour; brown sugar; cinnamon; salt and some nutmeg in a separate bowl. Stir together using a fork. Add the butter and with a pastry cutter and mix it all together until the mixture resembles fine pebbles. Store in a re-sealable plastic bag in the fridge. When you are ready to bake the casserole preheat the oven to 350 degrees F. Remove the casserole from the fridge and sprinkle the topping over the top. Bake for 45 minutes for a softer more bread pudding texture or for 1 hour or more for a firmer crisper texture. Scoop out individual portions. Top with butter and drizzle with warm pancake syrup and sprinkle with blueberries.,60,Cinnamon Baked French Toast,Breakfast,cinnamon_baked_french_toast.jpg
4.8,1,Step 1: Place a rack in middle of oven and preheat to 325°. Lightly coat a metal or glass 13x9 baking pan with nonstick vegetable oil spray; then line with parchment paper leaving a generous overhang on long sides. Whisk together 2 cups (250 g) all-purpose flour; 2 tsp. Diamond Crystal or 1 tsp. Morton kosher salt$ ¾ tsp. baking powder; and ¾ tsp. baking soda in a medium bowl; set aside. Step 2: Whisk ¾ cup (1½ sticks) unsalted butter; melted; slightly cooled; 1 cup (200 g) packed dark brown sugar; ½ cup (100 g) granulated sugar; and 1 Tbsp. vanilla extract in a large bowl until combined and sugar is starting to dissolve. Add 2 large eggs; room temperature; one at a time; whisking until incorporated after each addition. Add reserved dry ingredients and stir with a rubber spatula until a soft dough forms and no pockets of unincorporated flour remain. Add 1⅔ cups semisweet chocolate chips (10 oz.) and stir just until distributed. Step 3: Transfer dough to prepared baking pan and press into an even layer with your hands or spatula coated with nonstick spray. Sprinkle remaining ⅓ cup  semisweet chocolate chips (2 oz.) evenly over top of dough and press them in slightly to adhere. Step 4: Bake bar until top is golden brown and a tester inserted into the center comes out clean apart from any smudges of melted chocolate; 30–35 minutes. Let cool in pan at least 1 hour before cutting into an 8x3 grid to make 24 rectangles. Do Ahead: Bars can be baked 1 week ahead. Store tightly wrapped at room temperature; or freeze in resealable plastic freezer bags up to 3 months.,40,Chocolate Chip Cookie Bars,Dessert,chocolate_chip_cookie_bars.png
5,2,Step 1: Slice the loaf in half lengthwise and hollow out the bottom half; leaving a 1/2-inch border on all sides. Save the bread filling for another (like bread crumbs). Step 2: Add the olives; giardiniera; peppers; oil; capers and vinegar to a food processor and pulse until the texture is similar to a chunky relish. Step 3: Layer the bottom half of bread with half of the cheese; then spread half of the olive mixture on top of the cheese. Top with the mortadella; salami; ham and the remaining cheese. Spread the remaining olive mixture on to the top half of the bread. Close the sandwich and wrap it tightly in plastic wrap. The sandwich can be made and refrigerated the night before. Pack it on the bottom of your cooler and let the weight of the other food press and flatten the sandwich. Step 4: When you are ready to serve$ cut in to 6 even pieces.,505,Camping Muffuletta,Lunch,camping_muffuletta.png
5,2,Step 1: Combine olives; giardiniera; peppers; parsley; capers; and garlic in the bowl of a food processor. Pulse to chop until no pieces larger than 1/2-inch remain. Transfer to a bowl. Add olive oil and vinegar and stir to combine. For best results; let olive salad rest overnight before continuing to step 2. Step 2: Split muffuletta roll in half and spread each cut surface generously with olive salad; making sure to include the juices when spreading. Layer half of soppressata on bottom half of bun; followed by half of mortadella; half of capicola; and half of provolone. Repeat layers with remaining meat and cheese. Close sandwiches and press down gently to compress. For best flavor; wrap tightly in paper or plastic and let rest for 1 hour before serving. Cut into triangular wedges to serve.,30,Classic New Orleans Muffuletta Sandwich,Lunch,classic_new_orleans_muffuletta_sandwich.png
5,3,Step 1: Mix the ricotta; Italian seasoning; egg and 1/2 cup Parmesan in a medium bowl until combined. Step 2: Add 1/2 cup sauce and 1/2 cup water to the bottom of a large Dutch oven with a lid. Top with 3 noodles; breaking them as necessary to fit. Pour 1 cup sauce over the noodles and spread to cover. Dollop a third of the ricotta mixture on top of the noodles and spread it out with the back of a spoon. Sprinkle a third of the sausage on top of the ricotta if using. Sprinkle with 1 cup mozzarella. Repeat the layers 2 more times with the noodles; sauce; ricotta; sausage if using and mozzarella. Finish with another layer of noodles and the remaining 1/2 cup sauce. Top with the remaining 1 cup mozzarella and 1/4 cup Parmesan. Cover with the lid. Step 3: Prepare coals or a campfire for cooking at medium-high heat. Arrange the coals so there is a hole in the center large enough to hold the Dutch oven without it touching any of the coals directly. Place the Dutch oven in the hole. With tongs or a shovel$ place a few coals on the lid of the Dutch oven. Cook for 20 minutes$ rotating the pot occasionally. Remove the coals from the lid and take the Dutch oven off the fire. Let sit (covered) for 15 minutes more. Serve immediately.,60,Campfire Lasagna,Dinner,campfire_lasagna.png
5,3,Step 1: Gather all ingredients. Step 2: Bring a large pot of salted water to a boil over high. Add fettuccine; cook 2 minutes less than package instructions for al dente. Drain; reserving 1/2 cup cooking water. Step 3: While pasta cooks; stir together 1/4 cup of the flour and 1/4 teaspoon of the salt in a large bowl. Add chicken tenders; one at a time; and toss to coat evenly with flour. Shake excess flour off chicken; and transfer to a plate. Step 4: Heat a large skillet over medium-high; add oil and butter; cook (swirling often) until butter melts; 30 to 45 seconds. Place chicken tenders in skillet in a single layer; and cook; turning once halfway through; until browned and a thermometer inserted into the thickest part of the tender registers 165 degrees F (73 degrees C); about 8 minutes. Transfer chicken to a wire rack. Step 5: Add shallot to skillet; cook over medium-high; stirring constantly; until translucent; about 1 minute. Add mushrooms; cook; stirring often; until browned on edges; about 3 minutes. Step 6: Stir in Marsala; cook; stirring occasionally and scraping browned bits off bottom of skillet; until slightly reduced; about 4 minutes. Step 7: Stir in chicken stock; cream; Italian seasoning; black pepper; and garlic powder; bring to a boil over medium-high. Reduce heat to medium; and cook; stirring occasionally; until sauce is slightly thickened; about 3 minutes. Step 8: Whisk in remaining 2 tablespoons flour and 1 1/4 teaspoons salt until smooth; about 1 minute. Stir in spinach; cook (stirring often) until spinach is wilted; about 1 minute. Step 9: Add pasta and chicken tenders; cook over medium-high (tossing constantly) until heated through; about 2 minutes. Remove from heat. Stir in Parmesan until combined; adding reserved pasta water 2 tablespoons at a time (if needed) to reach desired consistency. Garnish with chopped fresh parsley and serve immediately.,50,Chicken Marsala Fettuccine,Lunch,chicken_marsala_fettuccine.png
4.5,2,Step 1: Place potatoes in a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender; 15 to  20 minutes. Drain. When potatoes are cool enough to handle; peel and cut into 1/2-inch cubes. Step 2: Add potatoes; eggs; mayo; mustard; onion and celery to a bowl and stir until well combined. Chill at least 1 hour prior to serving.,90,Easy Deviled Egg Potato Salad,Dinner,easy_deviled_egg_potato_salad.png
4.3,4,Step 1: Gather all ingredients. Fill a large saucepan with salted water and bring to a boil over high heat. Step 2: Meanwhile; heat a large skillet over medium heat. Add chopped bacon; cook; stirring occasionally; until rendered and crispy; about 8 minutes. Using a slotted spoon; transfer bacon to a paper towel-lined plate to drain; reserving about 3 tablespoons drippings in skillet. Step 3: While bacon cooks; sprinkle chicken evenly with pepper and 1/4 teaspoon of the salt. Add chicken to skillet with drippings; cook over medium-high; until chicken is browned and cooked through (a thermometer inserted into thickest portion of chicken registers 165 degrees F (73 degrees C)); 5 to 6 minutes per side; reducing heat if bottom of pan gets too dark. Transfer chicken to a plate; set aside until cool enough to handle; about 10 minutes. Chop chicken into bite-size pieces. Step 4: Reduce heat to medium; and add sundried tomatoes and shallot. Cook$ stirring often; until softened; about 2 minutes. Add garlic; Italian seasoning; crushed red pepper; and remaining 1 teaspoon salt. Cook (stirring constantly) until fragrant; about 30 seconds. Add tomato paste; cook (stirring constantly) until deepened in color; about 1 minute. Step 5: Pour in chicken broth; cook (stirring and scraping constantly to deglaze the skillet) about 1 minute. Stir in cream and bring to a simmer over medium. Simmer (stirring occasionally) until slightly thickened; 3 to 5 minutes. Step 6: Add tortellini to boiling water; and boil until tortellini are tender and float to the surface; 3 to 5 minutes. Reserve 1 cup cooking water. Drain. Step 7: Stir Parmesan cheese; reserved cooked bacon; reserved chopped chicken; and tortellini into skillet with cream mixture. Cook (stirring and tossing constantly) until evenly coated in sauce. Add reserved cooking water (1/4 cup at a time) if necessary to maintain a creamy consistency. Divide mixture among 6 bowls; garnish with additional Parmesan cheese and a generous scattering of fresh basil.,50,Marry Me Chicken Tortellini,Dinner,marry_me_chicken_tortellini.png
5,5,Step 1: Heat 1 tablespoon vegetable oil over medium-high heat; and add garlic and ginger. Stir-fry until fragrant but not browned; about 30 seconds; then add carrot; cabbage; green onions; mushrooms; and salt. Sook; stirring; for a few minutes or until the vegetables just start to soften up and lose their rigidity. Step 2: Stir in sesame oil and oyster sauce; and cook for 1 minute more; reduce the heat to medium-low. Add the uncooked vermicelli noodles; and use tongs to cover noodles with hot vegetable mixture. The noodles will quickly loosen up and separate; continue to use tongs to toss and stir everything until uniformly mixed. Step 3: Transfer mixture to a bowl; and add peas; ham; cayenne; and black pepper. Mix thoroughly to combine. Taste for seasoning; and add more salt if desired. Let mixture cool; then wrap and transfer into the refrigerator until ready to use. Step 4: Place 1 egg roll wrapper on a clean work surface; and position it in a diamond shape. Paint egg wash on all 4 edges. Spoon about 1/3 cup of filling on the bottom third of the wrapper. Make sure it is centered and evenly distributed. Fold the bottom tip of the wrapper up and over the filling and roll once to cover filling. Fold in sides; making sure to cover filling and align sides nice and straight. Finish rolling egg roll up; ending with the tip and seam at the bottom. Repeat with remaining wrappers and filling. Step 5: Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Fry egg rolls until browned and crisp; 4 to 5 minutes. Drain on a paper towel-lined plate and let rest for a minute or two before serving. Optional: Whisk mustard; rice vinegar; and sriracha together in a small bowl. Serve egg rolls with mustard sauce; or other prepared egg roll sauce.,45,Easter Egg Rolls,Dinner,easter_egg_rolls.png
3.5,1,Step 1: Add scallions; garlic; ginger; chili flakes; sesame seeds; and sesame oil to a heat-safe bowl with plenty of room left to add more ingredients. Step 2: Heat neutral oil over medium-high heat in a small saucepan until hot; about 5 minutes. Pour hot oil carefully over green onion mixture. It will bubble up; so pour slowly. Once the bubbling stops; stir the mixture and allow to cool slightly. Step 3: Stir in soy sauce; oyster sauce and vinegar. Transfer mixture to a jar or container with a tight fitting lid and refrigerate until ready to use.,15,Wet Wet Sauce,Side,wet_wet_sauce.png
4.8,4,Step 1: Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with cooking spray. Step 2: Beat cream cheese; 1 cup sugar; and vanilla extract in a bowl until smooth. Step 3: Unroll crescent roll dough; and use a rolling pin to shape each sheet into a 9x13-inch rectangle. Press one piece into the bottom of the prepared baking dish. Evenly spread cream cheese mixture on top; then cover with remaining piece of crescent dough. Step 4: Mash remaining 3/4 cup sugar; butter; and cinnamon with a fork until combined. Dot mixture over top of dough. Step 5: Bake in the preheated oven until crescent dough has puffed and turned golden brown; about 30 minutes. Step 6: Remove from the oven and drizzle with honey. Cool completely in the pan for about 2 hours before cutting into 12 squares.,170,Sopapilla Cheesecake Pie,Dessert,sopapilla_cheesecake_pie.png
5,2,Step 1: Gather Ingredients. Step 2: For Chicken Coating; whisk together cornstarch; soy sauce; Shaoxing wine; and pepper in a large bowl. Mixture will be quite thick. Add chicken pieces to bowl; stir to coat chicken. Let stand at room temperature for 15 minutes. Step 3: Meanwhile; for Black Pepper Sauce; whisk together chicken broth; oyster sauce; Shaoxing wine; soy sauce; water; cornstarch; and pepper in a medium bowl. Step 4: Heat 2 tablespoons vegetable oil in a 12-inch skillet over medium-high heat. Add half the chicken. Cook and stir until lightly browned and no longer pink; about 5 minutes. Transfer chicken to a plate; set aside. Repeat with remaining chicken. Remove chicken from skillet. Step 5: Add remaining 1 tablespoon vegetable oil to skillet. Stir in minced garlic and ginger. Cook and stir until fragrant; about 30 seconds. Stir in bell pepper and onion. Cook and stir until crisp-tender; 2 to 3 minutes. Step 6: Pour in Black Pepper Sauce and cook until sauce has thickened; 2 to 3 minutes. Return cooked chicken to skillet. Cook and stir until all ingredients are coated with sauce. Serve immediately over cooked white rice.,45,Black Pepper Chicken,Dinner,black_pepper_chicken.png
3,3,Step 1: On a clean work surface; halve each chicken breast horizontally (parallel to work surface) to make 8 (4-ounce) cutlets. For marinade; combine olive oil and dressing mix in a gallon-size resealable plastic bag. Add chicken; seal bag and turn to coat completely. Chill at least 1 hour or up to 8 hours. Step 2: Meanwhile; for tomato salad; combine tomatoes; shallot; lemon juice; vinegar; basil; garlic; capers; salt; and pepper in a large bowl. Let stand at room temperature up to 1 hour before serving. Step 3: Preheat an outdoor grill to medium heat (350 to 375 degrees F (175 to 190 degrees C)). Remove chicken from marinade; discard marinade. Step 4: Oil grill grates. Arrange chicken on grill. Cook; covered; turning halfway through; until an instant-read thermometer inserted into thickest parts of chicken registers 165 degrees F (74 degrees C); 8 to 10 minutes. Serve chicken topped with tomato salad. Serve with Parmesan and lemon wedges.,85,Bruschetta Chicken,Dinner,bruschetta_chicken.png
4.3,2,Step 1: In a large pot over medium-high heat; cook ground beef; onion; and garlic; stirring occasionally; until beef is browned; 5 to 6 minutes. Add water; tomatoes; and taco seasoning; then cover and bring to a boil. Step 2: Break spaghetti in half lengthwise and add to sauce. Reduce heat to medium (cover) and simmer until pasta is tender; 12 to 14 minutes. Step 3: Remove from heat and stir in Velveeta; cheddar; and cilantro until cheese is melted. Serve topped with more cilantro and sour cream; if using.,40,Taco Spaghetti,Dinner,taco_spaghetti.png
4.5,1,Step 1: Preheat oven to 400-F and grease a 9-inch ovenproof skillet with cooking spray. In a medium bowl; whisk together corn muffin mix; sour cream; egg; corn; and melted butter. Pour into prepared skillet and bake until golden; 15 minutes. Step 2: Meanwhile$ in a large skillet over medium heat; heat oil. Add onion and cook until soft; 5 minutes; then add garlic and cook until fragrant; 1 minute more. Add taco seasoning and season with salt. Add chicken and 1⁄2 cup enchilada sauce and stir until combined. Step 3: Poke holes all over cornbread with the bottom of a wooden spoon. Pour remaining 1⁄4 cup enchilada sauce over poked holes and top with chicken mixture. Step 4: Top with both cheeses and bake 20 minutes more. Step 5: Garnish with cilantro and sour cream before serving.,50,Chicken Tamale Pie,Lunch,chicken_tamale_pie.png
4.6,1,Step 1: In a large bowl; whisk lime juice; red pepper; 1/4 cup oil; and 1 teaspoon cumin. Season chicken with salt and black pepper; then add to bowl and toss to coat. Cover and refrigerate for at least 30 minutes or up to 2 hours. Step 2: In a large skillet over medium heat; heat remaining 1 tablespoon oil. Add chicken and cook until golden brown and cooked through and an instant-read thermometer inserted into thickest part registers 160°; about 8 minutes per side. Transfer to a cutting board. Let rest 10 minutes; then slice into strips. Step 3: Meanwhile; in same skillet over medium heat; combine peppers; onion; and remaining 1 teaspoon cumin; season with salt and black pepper. Cook (stirring occasionally) until softened; about 7 minutes. Return chicken to skillet and toss until combined. Step 4: Transfer chicken mixture to a platter. Serve with tortillas and lime wedges alongside.,60,Chicken Fajitas,Dinner,chicken_fajitas.png
4.2,4,Step 1: In a large skillet over medium heat; heat oil. Add onion and cook (stirring occasionally) until softened; about 7 minutes. Add garlic and cook (stirring) until fragrant about 1 minute more. Step 2: Add ground beef; season with salt and pepper; and cook; breaking up with a spoon; until no longer pink; about 6 minutes. Drain fat. Step 3: Add tomato paste and stir to coat; then pour in diced tomatoes; tomato sauce; and broth. Add Italian seasoning and paprika; then stir in macaroni. Bring to a simmer and cook (stirring occasionally) until pasta is tender; 10-15 minutes. Step 4: Stir in cheese until melted; season with salt and pepper; if needed. Remove from heat. Top with parsley.,45,Goulash,Dinner,goulash.png
5,3,Step 1: Preheat oven to 350°. In a large skillet over medium-high heat; heat lard and oil. Add poblano chiles; onion; garlic; and 2 teaspoons salt. Cook (stirring often) until vegetables are softened and beginning to brown; 8 to 10 minutes. Step 2: Add green chiles and stock; scraping up bits from bottom of skillet. Bring to a simmer and cook (stirring occasionally) until sauce has slightly reduced; 4 to 6 minutes. Transfer mixture to a blender; reserve skillet. Add cilantro to blender and blend until smooth; 30 seconds to 1 minute. Step 3: Place a tortilla directly on gas burner over high heat. Toast (turning once) until edges are slightly charred; about 30 seconds. Transfer to a cutting board and repeat with remaining tortillas; stacking them on top of each other. Cut tortilla stack in half. Step 4: Pour one-third of sauce into bottom of reserved skillet. Top with half of tortillas in an even layer; followed by 2 cups chicken; 3/4 cup beans; and 3/4 cup cheese. Pour in another one-third of sauce. Top with layers of remaining tortillas; 2 cups chicken; and 3/4 cup beans. Pour over remaining one-third sauce and top with remaining cheese. Step 5: Bake enchiladas until warmed through and cheese is melted; 18 to 22 minutes. Step 6: Dollop with sour cream. Top with cilantro; avocado; and radish.,50,Green Chile Chicken Skillet Enchiladas,Dinner,green_chile_chicken_skillet_enchiladas.png
