Title,Ingredients,Directions,Picture,
"Zuppa di Cavolo Nero, Cannellini, e Salsicce: Kale, White Bean, and Sausage Soup","['2 Italian sausages, skins removed and meat crumbled', '4 tablespoons olive oil', '2 onions, chopped', '2 garlic cloves, minced', '2 quarts chicken stock', '1 cup white wine', '6 thyme sprigs', '1 bunch of kale, washed and chopped', '4 cups cooked cannellini beans']","Sauté the crumbled sausage in the oil until browned, and reserve. Sauté the onions and garlic until translucent.
Add to the chicken stock in a big pot. Add the wine and cook until the alcohol has evaporated, then add the thyme and kale. Bring to a boil, then cover and simmer for 15 minutes. Add the cooked sausage and the beans and simmer another 15 minutes.",zuppa-di-cavolo-nero-cannellini-e-salsicce-kale-white-bean-and-sausage-soup-363386,"['2 Italian sausages, skins removed and meat crumbled', '4 tablespoons olive oil', '2 onions, chopped', '2 garlic cloves, minced', '2 quarts chicken stock', '1 cup white wine', '6 thyme sprigs', '1 bunch of kale, washed and chopped', '4 cups cooked cannellini beans']"
Zuni Ricotta Gnocchi,"['1 pound fresh ricotta (2 cups)', '2 large cold eggs, lightly beaten', '1 tablespoon unsalted butter', '2 or 3 fresh sage leaves, chopped, or a few pinches of freshly grated nutmeg, or a few pinches freshly chopped lemon zest (all optional)', '1/2 ounce Parmigiano-Reggiano, grated (about 1/4 cup very lightly packed)', 'About 1/4 teaspoon salt (a little more if using kosher salt)', 'All-purpose flour, for forming the gnocchi', '8 tablespoons butter, sliced', '2 teaspoons water']","Check the cheese for wetness. If you are lucky enough to have an individual basket-drained ricotta—you'll see the basket imprint or dimples on the cheese—it may be sitting in a little whey; in this case, slide it out of the container and wick away the surface moisture with a dry towel. With any ricotta, place about 2 teaspoons of the cheese on a dry paper towel and wait for about 1 minute. There will always be a little wet spot under and around the cheese, but if the cheese has thrown a wide ring of moisture, it is too wet to use as is. Place it in a strainer, or double-wrap in cheesecloth, and suspend over a deeper receptacle to drain for 8 to 24 hours, refrigerated. Cheesecloth is more efficient, as it also wicks moisture from the cheese while gravity does its job of draining. You can also speed up the draining operation by cinching the cheesecloth tight and squeezing some of the moisture from the ball of cheese.
Beat the ricotta vigorously, then smash a little cheese against the side of the bowl with a soft rubber spatula. If you can still make out firm curds, press the cheese through a strainer to break them up. Stir in the eggs. Melt the 1 tablespoon of butter—with the chopped sage, if using—and add to the batter. Add the nutmeg or lemon zest, if using. Add the Parmigiano and salt and beat the whole mixture very well. This is what makes the gnocchi light. You should have a soft, fluffy batter.
Make a bed of flour about 1/2 inch deep in a shallow baking dish or on a sheet pan.
Scrape the sides of the bowl, mass the batter, and smooth its surface. Use a spoon held at an angle to shallow-scoop out 2 to 3 teaspoons of batter. Use your fingertip to push the almond-shaped scoop of batter cleanly from the bowl of the spoon onto the bed of flour. Shimmy the pan gently to coat the sides, then flip the gnocchi with your fingertip to coat the top. Lift from the flour and cradle and rock it in your palm. Don't squeeze it. You should have a dusty oval pod. As long as the general shape is uniform and rotund, don't worry that the gnocchi has a few wrinkles, dimples, and bumps.
To check the batter, poach this first gnocchi in a small pot of simmering well-salted water. It will initially sink, but will then swell, roll, and bob to the surface. Maintaining the quiet simmer, cook until the gnocchi is just firm, usually 3 to 5 minutes from the time it floats, depending on the cheese and the size of the gnocchi. Don't boil hard, or the gnocchi may explode. If, even at a gentle simmer, the gnocchi spreads or starts to decompose, the cheese was probably too wet. This can usually be corrected by beating a teaspoon or so of egg white into the remaining batter. If the batter was very fluffy[,-CUT] but the sample seems heavy, beat in about 1 teaspoon beaten egg. In either case, poach another sample to make sure the fix is successful.
Taste the sample for salt, and adjust the batter if needed.
Use the same spoon-and-finger technique to form the rest of the gnocchi. I usually form them in groups of 4 to 6, placing them all at the same angle, and a few inches apart, in the bed of flour, then shimmy the pan to coat all of them at once; don't leave them sitting too long in the flour, or they will absorb too much. Keep scraping the bowl and smoothing the surface of the batter to permit smooth scoops. As with the sample, roll each gnocchi in your hand. Arrange them on a sheet pan lined with a flour-dusted sheet of parchment paper or wax paper. Be sure that the individual gnocchi are not touching one another.
You can poach the gnocchi right away, but if you refrigerate them uncovered for about an hour, they will firm up, making them easier to cook and handle. (They will keep for up to 8 hours that way.)
Place the 8 tablespoons of butter and the 2 teaspoons of water in a 12-inch skillet; set aside.
Bring 2 to 3 quarts water to a simmer in a wide pan, 10 or more inches in diameter, so the gnocchi won't crush each other too much as they push to the surface. A sauté pan, flared brasier, or saucier pan will work, as long as it is at least 2 inches deep. Salt the water liberally—about 1 teaspoon per quart. Add the gnocchi one by one, adjusting the heat to maintain the simmer. Dip your fingertips in water if you find they are sticking to the gnocchi, but don't fret if the gnocchi stick a little to the paper. Do avoid holding the tray of gnocchi in the steam. Cook the gnocchi as you did the sample, until just firm, 3 to 5 minutes from the time they float.
Meanwhile, as soon as the gnocchi float to the surface, place the pan of butter and water over medium heat. Swirl the pan as the butter melts and begins to seethe. As soon as the butter is completely melted and has turned into an opaque pale yellow sauce, turn off the heat. Swirl the pan a few more times.
Lift the gnocchi out with a slotted spoon or skimmer, slide into the ready skillet, and roll in the warm butter sauce. Serve instantly in warm bowls.
The mild flavor of the ricotta marries well with many other flavors and ingredients, especially sweet, subtle, or nutty ones. Whatever the companion, it should be tender and delicate—like the gnocchi themselves.
Try serving the dumplings with a few leaves of sage, arugula, or spinach wilted in butter, or roll in melted butter with just-cooked baby carrots and fresh chervil. Or pair with tender flageolets finished with extra-virgin olive oil and black pepper. Or fold in matchsticks of just-cooked zucchini; its subtle flavor becomes clearer next to these gnocchi. In the spring, we offer them with barely cooked peas, tiny favas, or finely slivered asparagus, or all three. During summer, we match them with fresh white corn kernels cooked in butter with basil, or scatter them with chopped nasturtium blossoms. When tender-skinned Sungold Sweet 100 tomatoes are at their sweetest, we halve them, warm them in extra-virgin olive oil with basil, and toss them over the gnocchi. In the fall, fresh wild mushrooms slivered, stewed, and finished with white truffle oil are delicious with the gnocchi, and in the winter, whenever we have black truffles in house, we shave some generously over the dish.
Prepare the batter as above. Warm an additional tablespoon of butter in a 10-inch skillet over low heat. Add a few handfuls of spinach leaves—about 2 ounces. Salt lightly and, stirring and folding constantly, cook until the spinach is completely wilted but still vibrant green, 1 to 2 minutes. Slide onto a clean towel, cover with another towel, and press to extract the moisture. (The spinach will bleed green into the towel.) Peel off the spinach and chop into bits the size of fresh thyme leaves. Don't chop fine, and don't purée, or you will sacrifice the nice texture and burst of flavor it promises. Beat the spinach flecks into the prepared batter, then form and cook the gnocchi as described above.",zuni-ricotta-gnocchi-241532,"['1 pound fresh ricotta (2 cups)', '2 large cold eggs, lightly beaten', '1 tablespoon unsalted butter', '2 or 3 fresh sage leaves, chopped, or a few pinches of freshly grated nutmeg, or a few pinches freshly chopped lemon zest (all optional)', '1/2 ounce Parmigiano-Reggiano, grated (about 1/4 cup very lightly packed)', 'About 1/4 teaspoon salt (a little more if using kosher salt)', 'All-purpose flour, for forming the gnocchi', '8 tablespoons butter, sliced', '2 teaspoons water']"
"Zucchini-Wrapped Halibut ""Scallops""","['1 teaspoon smoked paprika', '1 teaspoon ground cumin', '2 teaspoons curry powder', '1/2 teaspoon ground white pepper', '1/2 teaspoon onion powder', '1 tablespoon honey', '1 teaspoon water', '1 teaspoon dark brown sugar', '1 large zucchini', '1 pound halibut, fillets cut into 1-inch cubes (see note)', 'Toothpicks', ""1 pound spinach (I use the whole thing, stems and leaves, because I'm lazy)"", '2 tablespoons unsalted butter', '1 shallot, finely diced', '2 teaspoons all-purpose flour', '1/2 cup heavy cream', '1/4 cup dry white wine', '1 pound dry fettuccine', 'Vegetable oil', 'Olive oil, for drizzling']","To prep, mix the ingredients for the two rubs and the glaze in 3 separate bowls. Then, using a vegetable peeler, start peeling along the length of the zucchini, beginning with the green outer layer, creating 1/2-inch-thick ribbons. Rotate the zucchini a quarter-turn after each peel in order to make somewhat even-sized ribbons. Make as many as possible and stop when you get to the seeds. Lay the ribbons out on a plate and sprinkle the zucchini rub on both sides, spreading gently it with your hands until all of the pieces are covered. It doesn't have to be an even coating, but you want every ribbon to have some color and spice.
Bring a large pot of water to a boil.
Dip the halibut chunks into the scallop rub, making sure they are coated on all sides. Tightly wrap a zucchini ribbon around a halibut cube like a belt, so that the ends overlap. Use a toothpick to secure the zucchini and push it through to the other side. Place the wrapped halibut on a plate and repeat the procedure with the remaining fish and zucchini ribbons.
Now it's time to start on your sauce. Add the spinach to the boiling pot of water and cook for 1 minute. Immediately remove the spinach from the water with a slotted spoon, reserving the cooking liquid, and transfer the spinach to a colander to drain. Rinse with cold water and when cool to the touch, use your hands to tightly squeeze the spinach and wring out the liquid. Do this 4 to 5 times until no water remains. Finely chop the spinach into little green bits and set aside.
In a saucepan, melt the butter over medium heat. Add the shallot and cook for 2 minutes. Then add the flour and whisk until combined, 2 to 3 minutes. Add the cream and whisk until the sauce begins to thicken, about 5 minutes. Add the wine and the chopped spinach and continue to cook for 5 more minutes. The sauce will look thick, like creamed spinach. Reduce the heat to the lowest setting to keep the sauce warm.
Reheat the water you used to cook the spinach, and bring to a boil. Make sure you have your halibut rounds, the glaze, a plate, a large sheet of foil, and your serving bowl ready to go, because you are about to be moving around your kitchen quickly.
Add the pasta to the boiling water and cook for 10 minutes or according to the instructions on the package. While the pasta is cooking, heat 1 teaspoon of vegetable oil over medium heat in a large skillet (nonstick if possible). When the oil starts to hiss and sizzle, place the halibut pieces in the pan in a single layer and cook for 2 minutes. Evenly spread the glaze on the top of the fish and then flip the halibut rounds, cooking the other side for 2 minutes more. Spread more glaze on the top side again, flip, and cook for a final 1 to 2 minutes. The halibut will have a crisp, brown sear on both sides. Put the cooked fish on a clean plate and cover it with foil to keep warm. If you had to split the fish into two batches, repeat until all the halibut rounds are cooked.
Finally, drain the pasta and put it into a large bowl with a drizzle of olive oil so the noodles don't stick together. Add the warm spinach sauce to the pasta and toss.
To serve, make a nest of the sauced noodles on a plate and top with 4 or 5 ""scallops"" per guest. Remove the toothpicks and dig in.",zucchini-wrapped-halibut-scallops-51171810,"['1 teaspoon smoked paprika', '1 teaspoon ground cumin', '2 teaspoons curry powder', '1/2 teaspoon ground white pepper', '1/2 teaspoon onion powder', '1 tablespoon honey', '1 teaspoon water', '1 teaspoon dark brown sugar', '1 large zucchini', '1 pound halibut, fillets cut into 1-inch cubes (see note)', 'Toothpicks', '""1 pound spinach (I use the whole thing, stems and leaves, because Im lazy)"", 2 tablespoons unsalted butter', '1 shallot, finely diced', '2 teaspoons all-purpose flour', '1/2 cup heavy cream', '1/4 cup dry white wine', '1 pound dry fettuccine', 'Vegetable oil', 'Olive oil', 'for drizzling']"
Zucchini Salad With Ajo Blanco Dressing & Spiced Nuts,"['3 to 4 slices white bread, crusts removed', '3/4 cup blanched almonds, roughly chopped', '1 garlic clove, peeled', '1 teaspoon sherry vinegar', '1 cup extra-virgin olive oil', '1/3 cup ice-cold water', '3 medium zucchinis, cut into random pieces', '1/2 ounce hazelnuts, chopped', '1/2 ounce blanched almonds, chopped', '1/2 ounce walnuts, chopped', 'Pinch of smoked paprika', '1 small handful flat-leaf (Italian) parsley, washed and chopped', '1 small handful mint, washed and chopped', 'Freshly ground black pepper', 'Salt to taste']","For the dressing, first soak the bread in water for 5 minutes. Drain the bread, then place in a blender with the almonds, garlic, vinegar, and 1/2 cup of the olive oil. Gradually add the cold water and blend on high for 30 seconds, or until a smooth purée forms. Add salt to taste, then set aside in a bowl until serving time.
Preheat the oven to 350°F
On the stove, heat a ridged grill pan or grill to high, until slightly smoky.
Coat the cut sides of the zucchini pieces with 1/3 cup of the olive oil. Place them on the ridged grill pan and cook them, turning now and then, until they are branded all over. Place on a baking tray and finish in the oven for another 3–5 minutes-you want to cook them through, but leave a bit of texture and crunch to the zucchini. Once cooked, set aside and keep warm.
Place the nuts and remaining olive oil in a small saucepan over medium heat and warm through until fragrant. Transfer the nuts to a bowl, then season with the paprika and salt to taste.
To assemble the dish, place the warm zucchini in a large mixing bowl, along with the herbs and nuts, and stir gently to combine. Season with salt to taste and freshly ground black pepper if needed.
Dollop most of the dressing around the bottom of your serving dish, then arrange the zucchini salad on top. If desired, drizzle some more dressing on top for that creamy, nutty flavor and texture.",zucchini-salad-with-ajo-blanco-dressing-spiced-nuts-56389847,"['3 to 4 slices white bread, crusts removed', '3/4 cup blanched almonds, roughly chopped', '1 garlic clove, peeled', '1 teaspoon sherry vinegar', '1 cup extra-virgin olive oil', '1/3 cup ice-cold water', '3 medium zucchinis, cut into random pieces', '1/2 ounce hazelnuts, chopped', '1/2 ounce blanched almonds, chopped', '1/2 ounce walnuts, chopped', 'Pinch of smoked paprika', '1 small handful flat-leaf (Italian) parsley, washed and chopped', '1 small handful mint, washed and chopped', 'Freshly ground black pepper', 'Salt to taste']"
Zucchini Rice Gratin,"['1/3 cup long-grain white rice', '1 1/2 pounds zucchini (about 3 medium), sliced crosswise 1/4 inch thick', '6 1/2 tablespoons olive oil, divided', '1/2 pounds plum tomatoes, sliced crosswise 1/4 inch thick', '1 medium onion, halved lengthwise and thinly sliced', '3 garlic cloves, finely chopped', '2 large eggs, lightly beaten', '1 teaspoon chopped thyme', '1/2 cup grated Parmigiano-Reggiano, divided']","Preheat oven to 450°F with racks in upper and lower thirds.
Cook rice according to package instructions.
While rice cooks, toss zucchini with 1 tablespoon oil and 1/2 teaspoon salt in a shallow baking pan. Toss tomatoes with 1/2 tablespoon oil and 1/4 teaspoon salt in another baking pan.
Roast zucchini in upper third of oven and tomatoes in lower third, turning vegetables once halfway through roasting, until tender and light golden, about 10 minutes for tomatoes; 20 minutes for zucchini. Leave oven on.
Meanwhile, cook onion and garlic with 1/2 teaspoon salt in 2 tablespoons oil in a large heavy skillet, covered, over low heat, stirring occasionally, until very tender, 15 to 20 minutes.
Stir together onion mixture, cooked rice, eggs, thyme, 1/4 cup cheese, 1 tablespoon oil, 1/4 teaspoon salt, and 1/2 teaspoon pepper. Spread half of rice mixture in a shallow 2-quart baking dish, then top with half of zucchini. Spread remaining rice mixture over zucchini, then top with remaining zucchini. Top with tomatoes and drizzle with remaining 2 tablespoons oil, then sprinkle with remaining 1/4 cup cheese.
Bake in upper third of oven until set and golden brown, about 20 minutes.",zucchini-rice-gratin-241741,"['1/3 cup long-grain white rice', '1 1/2 pounds zucchini (about 3 medium), sliced crosswise 1/4 inch thick', '6 1/2 tablespoons olive oil, divided', '1/2 pounds plum tomatoes, sliced crosswise 1/4 inch thick', '1 medium onion, halved lengthwise and thinly sliced', '3 garlic cloves, finely chopped', '2 large eggs, lightly beaten', '1 teaspoon chopped thyme', '1/2 cup grated Parmigiano-Reggiano', 'divided']"
Zucchini Potato Tortilla,"['2 pounds zucchini (preferably small; 6 to 8)', '2 pounds boiling potatoes', '1 1/2 cups olive oil', '2 1/2 cups chopped Spanish onion (1 pound)', '10 large eggs', 'a 12-inch nonstick skillet']","Coarsely grate zucchini, then toss with 2 teaspoons salt and let stand 30 minutes.
While zucchini stands, peel potatoes and cut into 1/3-inch dice.
Heat oil in skillet over medium-high heat until hot, then add potatoes, onion, and 3/4 teaspoon salt. Reduce heat to medium-low and cook (without browning), uncovered, stirring occasionally, 30 minutes.
Transfer zucchini to a colander to drain, then squeeze small handfuls to remove as much liquid as possible, transferring as squeezed to a small bowl.
Add zucchini to potatoes and cook, stirring occasionally, until potatoes are tender and zucchini is slightly browned, about 15 minutes. Drain vegetables in colander set over a bowl, reserving oil. Cool 5 minutes.
Lightly beat eggs in a large bowl, then stir in vegetables, 1 tablespoon reserved oil, 3/4 teaspoon salt, and 1/2 teaspoon pepper.
Return 1 tablespoon reserved oil to skillet and add egg mixture, pressing potatoes flush with eggs. Cook over low heat, covered, until almost set and underside is golden, 12 to 15 minutes. Remove from heat and let stand, covered, 15 minutes.
Run a rubber spatula around tortilla and shake skillet gently to loosen (if bottom sticks, carefully slide spatula underneath). Slide tortilla onto a large flat plate, then cover with skillet and invert tortilla back into skillet. Round edge of tortilla with rubber spatula and cook over low heat, uncovered, until set, about 15 minutes more.
Slide tortilla onto a serving plate and cut into wedges. Serve warm or at room temperature.",zucchini-potato-tortilla-242870,"['2 pounds zucchini (preferably small; 6 to 8)', '2 pounds boiling potatoes', '1 1/2 cups olive oil', '2 1/2 cups chopped Spanish onion (1 pound)', '10 large eggs', 'a 12-inch nonstick skillet']"
"Zucchini, Potato, and Fontina Pizzettas","['1 (1/4-ounce) envelope active dry yeast (about 2 1/4 teaspoons)', 'Pinch of sugar', '3 1/2 cups all-purpose flour, divided, plus more for surface', '2 teaspoons kosher salt, plus more', '6 tablespoons olive oil, divided, plus more', '2 small red waxy potatoes (about 1/2 pound), scrubbed, very thinly sliced', '1 red onion, very thinly sliced', '1 medium zucchini, very thinly sliced', '4 ounces Fontina cheese, grated (about 1 1/2 cups)', 'Flaky sea salt', 'Coarsely ground black pepper']","Whisk yeast, sugar, and 3 Tbsp. warm water in a large bowl. Let sit until surface is foamy, about 5 minutes. Add 1 1/4 cups room-temperature water, then add 1 cup flour, whisking until smooth (mixture should be the consistency of pancake batter). Add 2 1/2 cups flour and 2 tsp. kosher salt and mix with a wooden spoon until a shaggy dough forms.
Turn out dough onto a lightly floured surface and knead with your hands, adding more flour as needed to prevent it from sticking, until dough is smooth and supple, 5–10 minutes (it will be very soft). Transfer to a large oiled bowl and cover with plastic wrap. Let rise in a warm, draft-free spot until doubled in size, 1–1 1/2 hours.
Divide dough into 4 equal pieces and form into balls. Place on an oiled rimmed baking sheet and cover with plastic wrap; let rise in a warm, draft-free spot until balls of dough are nearly doubled in size, 40–50 minutes.
Meanwhile, place potato slices in a colander and rinse with cold water. Drain, season with kosher salt, and let sit, tossing occasionally, until softened, 10–15 minutes. Transfer to a bowl and toss with onion, zucchini, and 2 Tbsp. oil; set aside.
Preheat oven to 450°F. Working with 1 ball of dough at a time and keeping remaining dough covered while you work, roll out dough on a lightly floured surface into 10"" rounds.
Heat a dry large cast-iron skillet over medium. Pour 1 Tbsp. oil into skillet and cook a dough round until bottom is golden brown and top looks dry, about 1 minute. Flip and cook just until bottom is lightly golden, about 1 minute. Transfer to a rimmed baking sheet and repeat with remaining 3 Tbsp. oil and rounds of dough (you should be able to fit two pizzettas per baking sheet if you overlap them slightly).
Top pizzettas with Fontina cheese and reserved potato mixture; season with kosher salt. Bake, rotating baking sheets once top to bottom and back to front, until crusts are golden brown and crisp and cheese is bubbling, 10–15 minutes. Remove pizzettas from oven, season with sea salt and pepper, and drizzle with oil.",zucchini-potato-and-fontina-pizzettas,"['1 (1/4-ounce) envelope active dry yeast (about 2 1/4 teaspoons)', 'Pinch of sugar', '3 1/2 cups all-purpose flour, divided, plus more for surface', '2 teaspoons kosher salt, plus more', '6 tablespoons olive oil, divided, plus more', '2 small red waxy potatoes (about 1/2 pound), scrubbed, very thinly sliced', '1 red onion, very thinly sliced', '1 medium zucchini, very thinly sliced', '4 ounces Fontina cheese, grated (about 1 1/2 cups)', 'Flaky sea salt', 'Coarsely ground black pepper']"
Zucchini Pizza Crust With Lemony Pea Pesto,"['1 (10-ounce) bag frozen peas', '2 tablespoons pine nuts, toasted', '2 cloves garlic, minced', '2 tablespoons olive oil', '2 tablespoons filtered water', '2 tablespoons hemp seeds', '1 tablespoon grated fresh lemon zest', 'Juice of 1 lemon', 'Pinch of sea salt', 'Freshly ground black pepper', '3 cups finely grated zucchini', '1–2 teaspoons sea salt', '1/2 cup almond flour', '2 tablespoons brown rice flour', '2 eggs, beaten', '2 cloves garlic, minced', '2 tablespoons nutritional yeast', '1 teaspoon dried oregano', '1/2 teaspoon red pepper flakes', 'Freshly ground black pepper', 'Olive oil, for drizzling', 'Garnishes: arugula, grated fresh lemon zest, fresh lemon juice, and freshly ground black pepper']","Quick-thaw the peas by blanching in boiling water for 3 minutes or microwaving until soft. In a food processor or high-speed blender, combine the peas, pine nuts, garlic, oil, water, hemp seeds, lemon zest, lemon juice, salt, and pepper to taste and pulse until the mixture is well combined and thick. Adjust seasonings to taste. Store in an airtight glass container in the refrigerator for up to 1 week.
Place the grated zucchini in a strainer, sprinkle the salt on top, and gently toss until the salt is distributed. Allow the zucchini to sit and sweat excess moisture for 45 to 60 minutes.
Transfer the zucchini from the strainer to a nut-milk bag or cheesecloth. Wrapping the cloth around the zucchini entirely, use your hands to squeeze out any excess liquid. Repeat the process until the zucchini no longer releases liquid. Place the zucchini in a large bowl and add the flours, eggs, garlic, nutritional yeast, oregano, red pepper flakes, and black pepper to taste. Stir to combine well.
Position one rack in the middle of the oven and another in the top position. Place a pizza stone (for a crispier crust) or a baking sheet lined with parchment paper on the middle rack. Preheat the oven to 500ºF. Place a large piece of parchment paper on a clean countertop and drizzle it with olive oil. Spread the zucchini dough onto the parchment paper and form the dough into a large 10-inch round or oval, about 1/2 inch thick.
Transfer the dough from the parchment paper directly to the hot pizza stone or lined baking sheet and bake for 20 minutes. Flip the pizza crust over and bake for an additional 10 minutes, until the crust is firm-crisp.
Carefully remove the crust from the oven, spoon on the pesto to the desired thickness, and bake on the top rack for 5 to 7 minutes, until the pesto is warm. Remove from the oven. Top with garnishes, if desired, and serve immediately.",zucchini-pizza-crust-with-lemony-pea-pesto,"['1 (10-ounce) bag frozen peas', '2 tablespoons pine nuts, toasted', '2 cloves garlic, minced', '2 tablespoons olive oil', '2 tablespoons filtered water', '2 tablespoons hemp seeds', '1 tablespoon grated fresh lemon zest', 'Juice of 1 lemon', 'Pinch of sea salt', 'Freshly ground black pepper', '3 cups finely grated zucchini', '1–2 teaspoons sea salt', '1/2 cup almond flour', '2 tablespoons brown rice flour', '2 eggs, beaten', '2 cloves garlic, minced', '2 tablespoons nutritional yeast', '1 teaspoon dried oregano', '1/2 teaspoon red pepper flakes', 'Freshly ground black pepper', 'Olive oil, for drizzling', 'Garnishes: arugula', 'grated fresh lemon zest', 'fresh lemon juice', 'and freshly ground black pepper']"
Zucchini-Pecan Cake with Cream Cheese Frosting,"['Nonstick vegetable oil spray', '1 1/2 cups all purpose flour', '1 1/2 teaspoons baking powder', '1 teaspoon coarse kosher salt', '1 teaspoon ground cinnamon', '1/2 teaspoon ground ginger', '1/4 teaspoon ground nutmeg', '3/4 cup olive oil (not extra-virgin)', '1 cup (packed) golden brown sugar', '3 large eggs', '1 teaspoon vanilla extract', '1 1/2 cups coarsely grated zucchini (about 8 ounces)', '3/4 cup chopped pecans', '1/2 8-ounce package Philadelphia brand cream cheese (do not use reduced-fat or fat-free), room temperature', '3 tablespoons unsalted butter, room temperature', '3/4 cup powdered sugar', '1/2 teaspoon vanilla extract', '1/2 teaspoon ground cinnamon']","Position rack in center of oven and preheat to 350°F. Line 9-inch-diameter cake pan with 2-inch-high sides with parchment paper. Coat parchment paper with nonstick spray.
Whisk flour, baking powder, coarse salt, cinnamon, ginger, and nutmeg in medium bowl to blend well. Whisk oil, sugar, eggs, and vanilla in large bowl to blend well; fold in flour mixture, then grated zucchini and pecans. Transfer cake batter to prepared pan.
Bake cake until tester inserted into center comes out clean, about 45 minutes. Cool cake completely in pan on rack, about 1 hour. Cut around sides of pan to loosen. Turn cake out onto platter; peel off parchment paper.
Using electric mixer, beat cream cheese and butter in medium bowl until blended. Beat in sugar, vanilla, and cinnamon. Spread frosting thickly over top of cake. DO AHEAD: Can be made 1 day ahead. Cover and chill.
Cut cake into wedges and serve.",zucchini-pecan-cake-with-cream-cheese-frosting-360270,"['Nonstick vegetable oil spray', '1 1/2 cups all purpose flour', '1 1/2 teaspoons baking powder', '1 teaspoon coarse kosher salt', '1 teaspoon ground cinnamon', '1/2 teaspoon ground ginger', '1/4 teaspoon ground nutmeg', '3/4 cup olive oil (not extra-virgin)', '1 cup (packed) golden brown sugar', '3 large eggs', '1 teaspoon vanilla extract', '1 1/2 cups coarsely grated zucchini (about 8 ounces)', '3/4 cup chopped pecans', '1/2 8-ounce package Philadelphia brand cream cheese (do not use reduced-fat or fat-free), room temperature', '3 tablespoons unsalted butter, room temperature', '3/4 cup powdered sugar', '1/2 teaspoon vanilla extract', '1/2 teaspoon ground cinnamon']"
Zucchini Patties with Feta,"['2 1/2 cups coarsely grated zucchini (from about 3 medium)', '1 teaspoon salt, divided', '1 large egg', '1 large egg yolk', '1/2 cup (or more) all purpose flour', '1/2 cup crumbled feta cheese', '1 cup chopped fresh Italian parsley', '1/2 cup chopped green onions', '1 1/2 tablespoons chopped fresh dill', '1/2 cup (about) olive oil', '1/2 cup (about) corn oil', 'Plain Greek yogurt']","Toss zucchini and 1/2 teaspoon salt in large bowl. Let stand 5 minutes. Transfer to sieve. Press out excess liquid; place zucchini in dry bowl. Mix in egg, yolk, 1/2 cup flour, cheese, and 1/2 teaspoon salt. Mix in parsley, onions, and dill. If batter is very wet, add more flour by spoonfuls.
Heat 2 tablespoons olive oil and 2 tablespoons corn oil in large skillet over medium heat. Working in batches, drop batter by rounded tablespoonfuls into skillet. Fry patties until golden, 5 minutes per side, adding more olive oil and corn oil as needed. Transfer to paper towels. DO AHEAD Can be made 1 day ahead. Place on baking sheet, cover, and chill. Rewarm uncovered in 350°F oven 12 minutes. Serve with yogurt.",zucchini-patties-with-feta-238266,"['2 1/2 cups coarsely grated zucchini (from about 3 medium)', '1 teaspoon salt, divided', '1 large egg', '1 large egg yolk', '1/2 cup (or more) all purpose flour', '1/2 cup crumbled feta cheese', '1 cup chopped fresh Italian parsley', '1/2 cup chopped green onions', '1 1/2 tablespoons chopped fresh dill', '1/2 cup (about) olive oil', '1/2 cup (about) corn oil', 'Plain Greek yogurt']"
